序号,机构名称,地址,邮政编码,区县代码,区县名称,医院等级,医院等次,大类,中类,小类,经济类型名称,机构管理名称
63,中国民族卫生协会北京崇文英平风湿病医院,北京市东城区夕照寺街绿景馨园12-1号,100061,110101,东城区,一级,合格,A.医院,A1.综合医院,A100.综合医院,集体全资,非营利性医疗机构
64,中国医学科学院北京协和医院,北京市东城区帅府园1号,100730,110101,东城区,三级,甲等,A.医院,A1.综合医院,A100.综合医院,国有全资,非营利性医疗机构
65,中国中医科学院针灸医院,北京市东城区北新仓18号,100700,110101,东城区,一级,合格,A.医院,A2.中医医院,A223.针灸医院,国有全资,非营利性医疗机构
66,北京按摩医院,西城区宝产胡同7号,100035,110102,西城区,二级,甲等,A.医院,A2.中医医院,A224.按摩医院,国有全资,非营利性医疗机构
67,北京北广电子集团有限责任公司职工医院,西城区的外黄寺大街23-4号,100120,110102,西城区,一级,合格,A.医院,A1.综合医院,A100.综合医院,国有全资,非营利性医疗机构
68,北京北海医院,北京市西城区地安门外大街158号,100009,110102,西城区,一级,未评,A.医院,A1.综合医院,A100.综合医院,股份合作,营利性医疗机构
69,北京长安中西医结合医院,西城区枣林前街19号,,110102,西城区,二级,未评,A.医院,A3.中西医结合医院,A300.中西医结合医院,私有,营利性医疗机构
70,北京大学第一医院,西城区西什库大街8号,100034,110102,西城区,三级,甲等,A.医院,A1.综合医院,A100.综合医院,国有全资,非营利性医疗机构
71,北京大学人民医院,西城区西直门南大街11号,100044,110102,西城区,三级,甲等,A.医院,A1.综合医院,A100.综合医院,国有全资,非营利性医疗机构
72,北京德胜门中医院,北京市西城区德胜门外大街200号;北京市西城区礼拜寺街25号,100120,110102,西城区,一级,合格,A.医院,A2.中医医院,A210.中医（综合）医院,股份合作,营利性医疗机构
73,北京核工业医院,北京西城区三里河南四巷,100045,110102,西城区,一级,甲等,A.医院,A1.综合医院,A100.综合医院,国有全资,非营利性医疗机构
74,北京鹤年堂中医医院,北京市西城区广安门内大街6号1—2,100053,110102,西城区,一级,未评,A.医院,A2.中医医院,A210.中医（综合）医院,股份合作,营利性医疗机构
75,北京华科中西医结合医院,西城区红莲南路71号,100055,110102,西城区,一级,未评,A.医院,A3.中西医结合医院,A300.中西医结合医院,其他,营利性医疗机构
76,北京积水潭医院,北京市西城区新街口东街31号,100035,110102,西城区,三级,甲等,A.医院,A1.综合医院,A100.综合医院,国有全资,非营利性医疗机构
77,北京家圆医院,北京市西城区富国街2号,100034,110102,西城区,一级,未评,A.医院,A1.综合医院,A100.综合医院,股份合作,营利性医疗机构
78,北京金华骨专科医院,北京市西城区阜成门外大街甲41号楼-2,100037,110102,西城区,一级,合格,A.医院,A5.专科医院,A526.骨科医院,股份合作,营利性医疗机构
79,北京军都医院,北京市西城区黄寺大街25号,100011,110102,西城区,一级,未评,A.医院,A1.综合医院,A100.综合医院,股份合作,营利性医疗机构
80,北京军颐中医医院,北京市西城区南菜园街甲2号,100054,110102,西城区,一级,未评,A.医院,A2.中医医院,A210.中医（综合）医院,股份合作,营利性医疗机构
81,北京前海股骨头医院,北京市西城区地安门西大街丙２８号,100009,110102,西城区,一级,合格,A.医院,A5.专科医院,A526.骨科医院,股份合作,营利性医疗机构
82,北京仁济生生医院,北京市西城区广安门外大街377号,100055,110102,西城区,一级,未评,A.医院,A1.综合医院,A100.综合医院,股份合作,营利性医疗机构
83,北京瑞安康复医院,西城区鸭子桥路35号4号楼1-6层,,110102,西城区,二级,未评,A.医院,A5.专科医院,A527.康复医院,私有,营利性医疗机构
84,北京圣康华医学研究院有限公司北京圣康华眼科医院,北京市西城区新康街甲1号院4号楼,100088,110102,西城区,一级,未评,A.医院,A5.专科医院,A512.眼科医院,私有,营利性医疗机构
85,北京市第二医院,北京市西城区宣内大街油坊胡同36号,100031,110102,西城区,二级,甲等,A.医院,A1.综合医院,A100.综合医院,国有全资,非营利性医疗机构
86,北京市二龙路医院,西城区德外大街16号、西城区下岗胡同1号,100120,110102,西城区,三级,甲等,A.医院,A3.中西医结合医院,A300.中西医结合医院,集体全资,非营利性医疗机构
87,北京市丰盛中医骨伤专科医院,北京市西城区阜内大街306号,100034,110102,西城区,二级,甲等,A.医院,A2.中医医院,A222.骨伤医院,集体全资,非营利性医疗机构
88,北京市回民医院,西城区右安门内大街11号,100054,110102,西城区,三级,甲等,A.医院,A3.中西医结合医院,A300.中西医结合医院,国有全资,非营利性医疗机构
89,北京市监狱管理局清河分局医院,京山线茶淀站清河农场五科西街清河医院,300481,110102,西城区,二级,乙等,A.医院,A1.综合医院,A100.综合医院,国有全资,非营利性医疗机构
90,北京市监狱管理局中心医院,北京市西城区右安门东街 9号,100054,110102,西城区,二级,甲等,A.医院,A1.综合医院,A100.综合医院,国有全资,非营利性医疗机构
91,北京市健宫医院,西城区儒福里6号,100054,110102,西城区,二级,甲等,A.医院,A1.综合医院,A100.综合医院,联营,营利性医疗机构
92,北京市西城区白云路医院,北京市西城区广外小马厂西里1号,100055,110102,西城区,一级,合格,A.医院,A1.综合医院,A100.综合医院,股份有限（公司）,非营利性医疗机构
93,北京市西城区广外医院,宣武区广外三义里甲2号,100055,110102,西城区,二级,合格,A.医院,A1.综合医院,A100.综合医院,国有全资,非营利性医疗机构
94,北京市西城区康迈骨伤医院,西城区长椿街12号,100053,110102,西城区,一级,合格,A.医院,A2.中医医院,A222.骨伤医院,私有,非营利性医疗机构
95,北京市西城区平安医院,西城区赵登禹路169号,100035,110102,西城区,二级,甲等,A.医院,A5.专科医院,A520.精神病医院,国有全资,非营利性医疗机构
96,北京市西城区展览路医院,西直门外桃柳园西巷16号,100044,110102,西城区,二级,合格,A.医院,A1.综合医院,A100.综合医院,集体全资,非营利性医疗机构
97,北京市西城区证仁医院,北京市西城区右安门西街临4号,100052,110102,西城区,一级,合格,A.医院,A1.综合医院,A100.综合医院,私有,非营利性医疗机构
98,北京市宣武区天桥医院,宣武区北纬路11号,100050,110102,西城区,一级,甲等,A.医院,A1.综合医院,A100.综合医院,集体全资,非营利性医疗机构
99,北京市宣武中医医院,西城区万明路13号,100050,110102,西城区,三级,乙等,A.医院,A2.中医医院,A210.中医（综合）医院,国有全资,非营利性医疗机构
100,北京曙光医院,北京市西城区西绒线胡同甲64号,100031,110102,西城区,一级,合格,A.医院,A5.专科医院,A539.其他专科医院,股份合作,营利性医疗机构
101,北京万博医院管理有限公司康桥医院,北京市宣武区半步桥街甲13号,100054,110102,西城区,一级,未评,A.医院,A1.综合医院,A100.综合医院,股份合作,营利性医疗机构
102,北京新世纪儿童医院,北京西城区南礼士路56号,100045,110102,西城区,未评,未评,A.医院,A5.专科医院,A519.儿童医院,其它内资,营利性医疗机构
103,北京宣武流动医院,北京市宣武区广外大街甲2号,100055,110102,西城区,未评,未评,A.医院,A1.综合医院,A100.综合医院,其它内资,营利性医疗机构
104,北京印钞有限公司医院,北京西城区白广路26号,100053,110102,西城区,一级,未评,A.医院,A1.综合医院,A100.综合医院,国有全资,非营利性医疗机构
105,北京中医药大学附属护国寺中医医院,北京市西城区棉花胡同83号,100035,110102,西城区,三级,甲等,A.医院,A2.中医医院,A223.针灸医院,国有全资,非营利性医疗机构
106,首都医科大学附属北京安定医院,西城区德胜门外安康胡同5号,100088,110102,西城区,三级,甲等,A.医院,A5.专科医院,A520.精神病医院,国有全资,非营利性医疗机构
107,首都医科大学附属北京儿童医院,北京市西城区南礼士路56号,100045,110102,西城区,三级,甲等,A.医院,A5.专科医院,A519.儿童医院,国有全资,非营利性医疗机构
108,首都医科大学附属北京友谊医院,北京市西城区永安路95号,100050,110102,西城区,三级,甲等,A.医院,A1.综合医院,A100.综合医院,国有全资,非营利性医疗机构
109,首都医科大学附属复兴医院,复兴门外大街甲20号,100038,110102,西城区,三级,合格,A.医院,A1.综合医院,A100.综合医院,国有全资,非营利性医疗机构
110,首都医科大学宣武医院,西城区长椿街45号,100053,110102,西城区,三级,甲等,A.医院,A1.综合医院,A100.综合医院,国有全资,非营利性医疗机构
111,中国人民公安大学医院,木樨地南里1号公安大学医院,100038,110102,西城区,一级,合格,A.医院,A1.综合医院,A100.综合医院,国有全资,非营利性医疗机构
112,中国医学科学院阜外医院,北京市西城区北礼士路167号,100037,110102,西城区,三级,甲等,A.医院,A5.专科医院,A515.心血管病医院,国有全资,非营利性医疗机构
113,中国中医科学院广安门医院,北京市西城区北线阁5号,100053,110102,西城区,三级,甲等,A.医院,A2.中医医院,A210.中医（综合）医院,国有全资,非营利性医疗机构
114,北京爱尔英智眼科医院,北京市朝阳区潘家园南里12号潘家园大厦,100021,110105,朝阳区,一级,未评,A.医院,A5.专科医院,A512.眼科医院,其它内资,营利性医疗机构
115,北京安慧宜和妇儿医院,北京市朝阳区安慧北里逸园5号楼,100101,110105,朝阳区,二级,未评,A.医院,A5.专科医院,A518.妇产（科）医院,其它内资,营利性医疗机构
116,北京奥北中医医院,北京市朝阳区大屯路36号,100101,110105,朝阳区,一级,未评,A.医院,A2.中医医院,A210.中医（综合）医院,其它内资,营利性医疗机构
117,北京奥东中康医院,朝阳区安外北苑3号院,100012,110105,朝阳区,一级,未评,A.医院,A5.专科医院,A539.其他专科医院,私有,营利性医疗机构
118,北京北亚医院,北京市朝阳区安定门外安苑里1号院1号楼,100026,110105,朝阳区,一级,未评,A.医院,A1.综合医院,A100.综合医院,其它内资,营利性医疗机构
119,北京长虹医院,北京朝阳区东三环北路甲17号,100027,110105,朝阳区,一级,未评,A.医院,A1.综合医院,A100.综合医院,其它内资,营利性医疗机构
120,北京朝阳国医之家中医医院,北京市朝阳区酒仙桥路26号院1号楼1至2层A08、1层A09,100016,110105,朝阳区,一级,未评,A.医院,A2.中医医院,A210.中医（综合）医院,其它内资,非营利性医疗机构
121,北京朝阳急诊抢救中心,北京市朝阳区周庄嘉园东里27号,100122,110105,朝阳区,二级,未评,A.医院,A1.综合医院,A100.综合医院,其它内资,非营利性医疗机构
122,北京朝阳凌和望京医院,北京市朝阳区宏昌路望京西园一区120楼,100102,110105,朝阳区,一级,未评,A.医院,A1.综合医院,A100.综合医院,私有,非营利性医疗机构
123,北京朝阳罗有明中医骨伤科医院,北京市朝阳高碑店北路甲8号,100025,110105,朝阳区,一级,未评,A.医院,A2.中医医院,A210.中医（综合）医院,其它内资,非营利性医疗机构
124,北京朝阳区大黄庄医院,北京市朝阳区大黄庄南里16号楼,100024,110105,朝阳区,一级,未评,A.医院,A1.综合医院,A100.综合医院,国有全资,非营利性医疗机构
125,北京朝阳糖尿病医院,北京市朝阳区甜水园东街1号,100026,110105,朝阳区,一级,未评,A.医院,A5.专科医院,A539.其他专科医院,其它内资,营利性医疗机构
126,北京朝阳中西医结合急诊抢救中心,北京市朝阳区十八里店乡周家庄村123号,100025,110105,朝阳区,三级,未评,A.医院,A3.中西医结合医院,A300.中西医结合医院,国有全资,非营利性医疗机构
127,北京朝阳中西医结合医院,北京市朝阳区芍药居北里315楼26-32号,100029,110105,朝阳区,一级,未评,A.医院,A3.中西医结合医院,A300.中西医结合医院,国有全资,非营利性医疗机构
128,北京东大肛肠医院,北京市朝阳区东大桥路5号,100020,110105,朝阳区,一级,未评,A.医院,A5.专科医院,A539.其他专科医院,其它内资,营利性医疗机构
129,北京东方博大医院,北京市朝阳区华威西里55号,100021,110105,朝阳区,一级,未评,A.医院,A1.综合医院,A100.综合医院,股份合作,营利性医疗机构
130,北京东方美华医院投资管理有限公司东方美华妇儿医院,朝阳区安外小关北里边218号1号楼,100029,110105,朝阳区,一级,未评,A.医院,A5.专科医院,A518.妇产（科）医院,其它内资,营利性医疗机构
131,北京东区儿童医院,北京市朝阳区广渠路南侧44号(5-3),100021,110105,朝阳区,一级,未评,A.医院,A5.专科医院,A519.儿童医院,其它内资,营利性医疗机构
132,北京东区口腔医院,朝阳区广渠路33号石韵浩庭B座101、102,100022,110105,朝阳区,一级,未评,A.医院,A5.专科医院,A511.口腔医院,其它内资,非营利性医疗机构
133,北京东苑中医医院,北京朝阳区朝来绿色家园广华居18号、19号底商,100102,110105,朝阳区,二级,乙等,A.医院,A2.中医医院,A210.中医（综合）医院,其它内资,营利性医疗机构
134,北京二十一世纪医院,北京市朝阳区亮马桥路40号二十一世纪大厦,100125,110105,朝阳区,一级,未评,A.医院,A1.综合医院,A100.综合医院,其它内资,营利性医疗机构
135,北京方舟医院管理有限公司方舟中医医院,朝阳区广渠东路38号,100022,110105,朝阳区,一级,未评,A.医院,A2.中医医院,A210.中医（综合）医院,其它内资,营利性医疗机构
136,北京凤凰妇科医院,北京市朝阳区将台西路18号,100016,110105,朝阳区,二级,未评,A.医院,A5.专科医院,A539.其他专科医院,其它内资,营利性医疗机构
137,北京高新医院,朝阳区左安门外饮马井45号,100021,110105,朝阳区,一级,未评,A.医院,A1.综合医院,A100.综合医院,其它内资,营利性医疗机构
138,北京工业大学医院,朝阳区平乐园100号,100124,110105,朝阳区,一级,未评,A.医院,A1.综合医院,A100.综合医院,国有全资,非营利性医疗机构
139,北京光熙康复医院,北京市朝阳区光熙门北里22号北楼,100028,110105,朝阳区,二级,未评,A.医院,A5.专科医院,A527.康复医院,其它内资,营利性医疗机构
140,北京广慈中医药研究院广济中医医院,北京市朝阳区安华西里一区12号楼,100011,110105,朝阳区,一级,未评,A.医院,A2.中医医院,A210.中医（综合）医院,股份合作,营利性医疗机构
141,北京广仁中西医结合医院,北京市朝阳区农光里112号楼南综合楼,100021,110105,朝阳区,一级,未评,A.医院,A3.中西医结合医院,A300.中西医结合医院,股份合作,营利性医疗机构
142,北京贵美汇医院,北京朝阳区团结湖南里甲12号,100026,110105,朝阳区,一级,未评,A.医院,A1.综合医院,A100.综合医院,其它内资,营利性医疗机构
143,北京国奥心理医院,北京市朝阳区安外大街安定路1号国家奥林匹克体育中心院内,100029,110105,朝阳区,一级,未评,A.医院,A5.专科医院,A520.精神病医院,股份合作,营利性医疗机构
144,北京国门医院,北京市朝阳区北皋村1号,100015,110105,朝阳区,一级,未评,A.医院,A1.综合医院,A100.综合医院,其它内资,非营利性医疗机构
145,北京国宗济世中医医院,北京市朝阳区望京西园二区京电商综合楼2,100102,110105,朝阳区,一级,未评,A.医院,A2.中医医院,A210.中医（综合）医院,其它内资,营利性医疗机构
146,北京海文医院,北京市朝阳区华威北里甲10号,100021,110105,朝阳区,一级,未评,A.医院,A1.综合医院,A100.综合医院,私有,营利性医疗机构
147,北京汉典中医医院,北京市朝阳区石佛营东里133号院4号楼,100025,110105,朝阳区,一级,未评,A.医院,A2.中医医院,A210.中医（综合）医院,其它内资,营利性医疗机构
148,北京和美妇儿医院,北京市朝阳区安外小关北里甲2号,100021,110105,朝阳区,二级,未评,A.医院,A5.专科医院,A539.其他专科医院,其它内资,营利性医疗机构
149,北京和睦家康复医院,北京市朝阳区东风乡将台洼村甲168号,100016,110105,朝阳区,二级,未评,A.医院,A5.专科医院,A527.康复医院,中外合作,营利性医疗机构
150,北京和睦家医院,北京市朝阳区将台路2号,100016,110105,朝阳区,二级,未评,A.医院,A1.综合医院,A100.综合医院,中外合作,营利性医疗机构
151,北京和谐康复医院,朝阳区孙河乡顺黄路158号,100012,110105,朝阳区,一级,未评,A.医院,A5.专科医院,A527.康复医院,其它内资,营利性医疗机构
152,北京弘医堂中医医院,北京市朝阳区团结湖北路2号,100026,110105,朝阳区,一级,未评,A.医院,A2.中医医院,A210.中医（综合）医院,私有,营利性医疗机构
153,北京红松仁和医院,北京市朝阳区红松路2号院1号楼,100018,110105,朝阳区,一级,未评,A.医院,A1.综合医院,A100.综合医院,其它内资,营利性医疗机构
154,北京华大中医医院,北京朝阳区劲松四区405楼,100021,110105,朝阳区,一级,未评,A.医院,A2.中医医院,A210.中医（综合）医院,其它内资,营利性医疗机构
155,北京华德眼科医院,北京市朝阳区金台路甜水园东街10号,100026,110105,朝阳区,一级,未评,A.医院,A5.专科医院,A512.眼科医院,其它内资,营利性医疗机构
156,北京华府妇儿医院,北京市朝阳区百子湾南二路18号,100022,110105,朝阳区,二级,未评,A.医院,A5.专科医院,A539.其他专科医院,其它内资,营利性医疗机构
157,北京华韩医疗美容医院,北京市朝阳区劲松东口农光里109号,100021,110105,朝阳区,一级,未评,A.医院,A5.专科医院,A529.美容医院,其它内资,营利性医疗机构
158,北京华盛医院,北京市朝阳区成寿寺路威仪路5号,100164,110105,朝阳区,一级,未评,A.医院,A5.专科医院,A539.其他专科医院,其它内资,营利性医疗机构
159,北京华泰医院,北京市朝阳区平房西口,100025,110105,朝阳区,一级,未评,A.医院,A1.综合医院,A100.综合医院,股份合作,营利性医疗机构
160,北京华信医院（清华大学第一附属医院）,朝阳区酒仙桥一街坊6号,100016,110105,朝阳区,三级,合格,A.医院,A1.综合医院,A100.综合医院,国有全资,非营利性医疗机构
